time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/12/2025 8:45,147.379,147.387,147.318,147.335,466,20,,0,0,0,0,,,,0,0.044,0.069,,,-1,
9/12/2025 9:00,147.335,147.417,147.315,147.36,987,20,,-1,1,1,-1,,,,0,0.025,0.102,,,1,
9/12/2025 9:15,147.361,147.463,147.361,147.458,878,20,,1,1,1,1,,,,0,0.097,0.102,,,1,
9/12/2025 9:30,147.457,147.493,147.428,147.458,748,21,,1,0,1,1,,,,0,0.001,0.065,,,1,
9/12/2025 9:45,147.459,147.471,147.394,147.396,1044,20,,1,-1,-1,-1,,,,0,0.063,0.077,,,-1,
9/12/2025 10:00,147.395,147.4,147.301,147.331,1043,20,,-1,-1,-1,-1,,,,0,0.064,0.099,,,-1,
9/12/2025 10:15,147.331,147.362,147.23,147.345,1159,20,,-1,1,-1,-1,,,,0,0.014,0.132,,,1,
9/12/2025 10:30,147.345,147.473,147.345,147.444,1255,21,,1,1,1,1,,,,0,0.099,0.128,,,1,
9/12/2025 10:45,147.444,147.453,147.368,147.444,1314,20,,1,0,-1,1,,,,0,0,0.085,,,0,
9/12/2025 11:00,147.445,147.681,147.44,147.665,2000,20,,1,1,1,1,,,,0,0.22,0.241,,,1,
9/12/2025 11:15,147.667,147.798,147.665,147.726,2125,20,,1,1,1,1,,,,0,0.059,0.133,,,1,
9/12/2025 11:30,147.728,147.867,147.72,147.866,1374,20,,1,1,1,1,,,,0,0.138,0.147,,,1,
9/12/2025 11:45,147.867,147.916,147.843,147.885,1164,20,,1,1,1,1,,,,0,0.018,0.073,,,1,
9/12/2025 12:00,147.885,147.939,147.88,147.893,1023,20,,1,1,1,1,,,,0,0.008,0.059,,,1,
9/12/2025 12:15,147.893,147.92,147.847,147.896,805,20,87.81305872,1,1,-1,-1,0.107846284,,4,0,0.003,0.073,,,1,
9/12/2025 12:30,147.896,147.969,147.864,147.959,800,20,89.22872235,1,1,1,1,0.107543283,0.58,4,1,0.063,0.105,0.58,0.97,1,HOLD
9/12/2025 12:45,147.96,147.961,147.89,147.915,508,21,82.0592118,1,-1,-1,1,0.103784717,-0.41,4,-1,0.045,0.071,0.42,0.66,-1,HOLD
9/12/2025 13:00,147.915,147.928,147.833,147.886,661,21,77.63175587,-1,-1,-1,-1,0.102908715,-0.28,3,-1,0.029,0.095,0.28,0.92,-1,TP
9/12/2025 13:15,147.886,147.887,147.815,147.815,670,22,67.96350895,-1,-1,-1,-1,0.099911329,-0.69,2,-1,0.071,0.072,0.69,0.7,-1,SELL
9/12/2025 13:30,147.816,147.843,147.755,147.775,851,21,63.18892414,-1,-1,-1,-1,0.098784997,-0.4,2,-1,0.041,0.088,0.41,0.88,-1,HOLD
9/12/2025 13:45,147.776,147.804,147.73,147.739,574,21,59.16064193,-1,-1,-1,-1,0.096494321,-0.36,2,-1,0.037,0.074,0.37,0.75,-1,HOLD
